movie_title,title,review,rating,helpful,total,date
Angels & Demons," 100% lived up to expectations
","Angels and Demons is one of my favorite books, so naturally I expected quite a lot from this film, and it totally lived up to my expectations. The thrill of watching this movie is not one that I often feel when watching movies. I would definitely say that this is in the top 5 movies I have ever watched.Angels and Demons is basically about a Havard religious symbologist, Robert Langdon (Tom Hanks) who is trying to help save the Vatican from an old enemy (The Illuminati) who is going to blow the Vatican up (with Anti-Matter) at midnight on the night of conclave and kill 4 Cardinals. He teams up with Vittoria Vetra and some Swiss Guard members, and tries to follow the ancient Path of Illumination which is where the murders of the 4 preferiti Cardinals is going to take place. At the same time he is trying to figure out where the anti-matter canister is and save the Catholic Church.The movie varies from the book a bit (like Kohler and Rocher don't appear, but the character 'Richter' is basically a combination of the two of them), but the basic plot is the same.I truly enjoyed watching this movie and I am definitely going to get the DVD when it comes out. I totally recommend anyone to watch this movie.",10,6,12,25 May 2009
Star Trek," Not nearly as good as it should have been
","This is my first Star Trek movie I have seen. I didn't have high expectations for this movie, so that is why I wasn't really disappointed when the movie turned out to be boring and not that exciting.The bad guys were also portrayed badly, they look like a bikie gang! The film was quite hard to follow. I still don't fully understand the plot. They should have made the movie shorter and the opening scenes weren't really necessary.The movie got a bit better around the middle (in terms of how interesting it is) but then it became boring like the start, afterwards.If you are a Star Trek fan this movie might disappoint you as I went with a fan. He said that the movie wasn't nearly as good as the previous ones.",4,19,28,16 May 2009
Inglourious Basterds," Just...weird...
","If I were to summarize 'Inglourious Basterds' in one word it would be: Weird. Now you are probably wondering: Good weird or bad weird? Well, both - but mainly bad. I wish this movie was a little more focused. If this movie was more focused on what it wanted to achieve, it would be a lot more interesting and funny.By the way this movie was totally different to what I expected - and that can be good sometimes when it makes the movie less predictable. But in this case it just made the movie something I didn't want to see.Anyway, this movie is about a group of Jewish-Americans who try to scare the Nazis by killing every Nazi they find in brutal ways. Be warned this movie has a lot of blood, killing and violence just for the sake of having more violence. And that isn't a bad thing (at least not for me - what's a war movie without lots of violence?).This movie isn't that bad, there are a few laughs along the way and a few exciting moments but in general I didn't enjoy this film.To sum it up: it is a pretty average movie and I wouldn't recommend friends to watch it.",4,12,28,24 August 2009
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"," Not a good movie at all.
","This is one of those movies I just don't get. I don't really see the point. Its just not an interesting movie. Yes its not horrible - but its definitely not a movie that I would watch again.To me its just another one of those stupid kids adventure movies. The Harry Potter movies are infinitely better and more enjoyable. They release numerous movies very similar to these and they just aren't interesting or exciting. I'm not sure what the film makers were trying to achieve with this movie, but its pretty obvious that they didn't have high goals for the movie.I'm not sure whether it is just due to a bad plot (then you have to blame the book) or whether it was just made poorly. Either way (or both) the movie is still a very boring and uninteresting try-hard kids movie.I'm sure a lot of people have enjoyed this movie - but I still don't see what is good about it. As i said - its not horrible - but its even remotely good either - so why should you watch it? And the stupid - cliché happy ending, really annoyed me. I don't mind a happy ending (the Da Vinci Code for instance), but a stupid childish boring happy ending which you can think up in two seconds really annoyed me.To sum it up: its a movie that is not funny, not interesting, not exciting, not anything good. Just don't watch it.",3,0,0,30 January 2009
X-Men Origins: Wolverine," Brilliant, a lot better than expected
","I didn't expect this movie to be great, I thought it would just be average but this movie turned out to be excellent. This is a very well made and exciting film.Because I have never watched a X-Men movie before, I found this a bit hard to follow. Other than that the movie was brilliant. The action scenes were spectacular and very exciting (some of the best I have seen in a while).The special effects were great and were used very well. The movie was filmed very well and didn't make it uncomfortable to watch (like some movies). To sum it up: I think this is a great movie which is exciting, well made and enjoyable to watch. My rating for this movie is 8 out of 10.",8,2,4,2 May 2009
Silent Hill," So far best example of game - movie adaptation.
","9/10 rating.Silent Hill is by far the best movie which is based on a game. I previously watched House of the Dead and that was HORRIBLE! The movie is stunningly creepy and does an excellent job at keeping you screaming! The action of the movie was great, and the whole storyline was excellent (thanks to the game though). It was sad how the police officer died and the ending totally creeped me out.This is a masterpiece of a movie - well acted, interesting, creepy and plenty of action.This is the sort of movie that you think about for a while afterwards - unlike House of the Dead.This movie certainly comes within range of some of the best horror movies.",9,0,1,17 January 2009
Scary Movie 2," Worst of the Scary Movie Franchise
","'Scary Movie 2' is a let down to the Scary Movie Franchise. Scary Movie 1, 3 and 4 were all good but this one was kind of boring and not very funny. Luckily they picked their act up after this one and made two more great Scary Movies.This film is about a group of teens who get tricked by their Professor into going to a haunted mansion for a night. Things start to go wrong and then they realize they have to escape.This movie isn't horrible but they could have improved quite a few things. It is a bit of fun and if you liked the other movies in the Scary Movie franchise then give this a watch - but I don't think you will like it nearly as much.",4,2,3,7 September 2009
The Matrix Revolutions," I expected a lot more
",The previous two Matrix movies were a lot better than this one. The action scene's weren't nearly as good as the previous two and the ending was pretty bad. Its a pity they didn't make this movie better as now it downgrades the whole Matrix series.There was too much time in Zion - when they should have spent more time in the Matrix. The final battle was all right but the way it ended wasn't good. I still don't understand it fully! The movie wasn't horrible - but I was just expecting so much more.If your a matrix fan - you should definitely watch this (you don't want to have the series uncompleted) even if the movie isn't great.6/10 - an average movie.,6,0,0,30 March 2009
The Village," Great twist at the end!
","I thoroughly enjoyed watching this film. It was scary, intense and mysterious at the perfect times. I was recommended to watch it by a friend - and the movie certainly did live up to expectations.The woods were freaky! And the movie was not just pure horror - but interesting and had a great plot. This is the kind of movie that I want to go and watch it again.The twist at the end - where the Village turns out to be set in the 21st century and most people didn't know, was really unexpected. I love movies with a twist - like the 6th Sense.This movie really deserves the rating I have given it: 10/10.GREAT MOVIE - WATCH IT!",10,3,4,13 February 2009
Knowing," Loved it!
","This movie was quite different from what I expected it to be. I thought it was going to be similar to National Treasure (which I liked as well) with Nic Cage going around cracking codes.It was partially about Nic Cage going around cracking codes - but this movie had a horror and mystery theme to it - which made this movie great.'Knowing' is basically about a girl that writes a page full of numbers as her submission to her schools time capsule. 50 years later when they take the capsule out Nicolas Cage (John) realizes that it is a list of dates that for tell when disasters are going to happen. It also shows the co-ordinates and the number of casualties. Though some of the dates listed haven't happened yet...The ending was not what I thought it would be, which is good - I love unexpected endings.I really recommend this movie - and is one of Nicolas Cage's best so far. The plot, casting, lighting and everything was also excellent. Also - I would definitely watch this in the theater - this movie was totally made for the big screen.",8,2,6,28 March 2009
